id,viewCount,likeCount,favoriteCount,commentCount
_8cSGxZqpgE,19921,396,0,42
vt0J3IEYkIg,439027,13371,0,772
TcGJtLNZxYE,61819,779,0,50
l0puhi_KKSI,17366,214,0,13
sovwUwi5SFA,371714,4295,0,1381
tZWZ82Em-Q8,2020921,59343,0,3605
oxo-loXdcH0,6393487,116946,0,6026
9W1Kymhz9fw,31492,611,0,38
JsaqhRkKu1M,110263,1668,0,67
JZyaHcYEsWM,144845,3310,0,165
yeFcUbGW1gA,240328,7309,0,250
JxEvAHLqryg,124653,3872,0,217
Qafq8drD_L4,186859,4403,0,208
niUYjPLH5io,17705,179,0,15
DHjczZIxr_0,1129737,28857,0,1681
rPVQlQQgPLg,1150804,20364,0,981
KgDPEW_ypj8,1149318,45705,0,3045
B20In-v-nDs,488860,19220,0,801
kbvIoW5-b8E,230538,6484,0,215
Q7D61-XF3x4,357541,12348,0,515
BPRVzA67Dbs,1440723,63510,0,2071
_1_BRqBvvdM,262887,8088,0,310
vw-DLcZBfq0,391269,10988,0,815
VEZ-Nc_KGCI,30443,621,0,31
0rXXdE6UFRc,277330,9497,0,638
wTqCthvtL8k,5256600,112086,0,2294
zEDFY4vN8Xc,75030,1988,0,94
q8RPdBT0vOU,107016,2390,0,144
D4XoV1dhOrQ,40616,779,0,35
aa47gA8lz-0,112173,2609,0,131
_N04n2yAd0M,51428,1224,0,69
AqmBuA6lkWs,103007,4092,0,216
5WGUDQ_8Ynk,41744,1159,0,49
Vj05Zi435i0,72941,2535,0,253
fdMMKAVFp1k,75128,2770,0,199
_AZkq4wo3p8,45424,1262,0,82
sT3GWRw39o8,32038,1070,0,70
Sn_Hel_lqDM,39518,1378,0,157
a6_RFp5xlGA,435753,10177,0,440
HlDgW6kU3cM,675052,23916,0,924
1UcaZJiGPUs,33419,987,0,60
CG3XDu8aAf8,1143902,52575,0,2096
uMPFEXq1eSU,188763,4250,0,158
Zm1VIGNmPxI,3187847,82615,0,3543
K5CDAqm_f3E,72656,960,0,38
3w4DSs8DSuQ,43032,754,0,26
N6y5DdEHNYA,1097350,36509,0,1584
7zh6l2eSJA0,79564,1959,0,65
M6Rh-CzEo24,763952,12172,0,706
PxKHo8kiBG4,487543,14359,0,700
4u4rXzIw8JE,27502,471,0,26
qyPquozbCOQ,1352538,46137,0,1390
WeAOsfpC-NY,74385,2367,0,83
xx_Q2fu7Zp4,100591,2335,0,92
6dkDepLX0rk,15617954,363160,0,7878
CKg3FV5gwMc,4014209,444464,0,21147
C3Y_thL0juU,258126,6420,0,303
qHNUeBK8k7Q,2021184,79417,0,1304
uL2nHQj5BPo,20621,777,0,9
IG76Rf28MQA,700530,22826,0,1290
RfkXW0Gm3eQ,375535,11630,0,618
8Yu6CQcnQ_A,304215,10797,0,302
cx67TnQrqcg,4118067,146021,0,3801
eAzClkn3zYw,1206382,30919,0,767
7odxBDg-7JE,3222204,100710,0,2535
u3axBzTe2-I,356931,11891,0,385
2PQnfVlRzqE,474996,14416,0,348
RKblHbJE1jI,384922,13047,0,573
71XmVyRCe4M,135689,2888,0,184
-vwiDF8pD1c,91669,1540,0,97
2aX8svdJjZo,209912,5852,0,213
4dd7WejIFi8,1097756,28045,0,1170
xNm2JuN2WLQ,921401,15648,0,911
abb3ObvdBus,2223721,46957,0,10825
aKWV7b3j5P0,4441302,98139,0,2918
7WiGD2vOqDk,491616,25849,0,1291
wSl5_RDCfrQ,3076350,83439,0,2317
2C-WmZQABLQ,12579777,212511,0,7529
aQcXSoamCVA,552240,15887,0,549
ug25yQSEub0,15303174,97527,0,2275
Jasbbgybmr4,60944,3908,0,256
7p78XATPcyg,2861715,96752,0,2207
Ffs7szmBmCU,358502,9540,0,548
7rzGNL28Js0,325926,13186,0,589
gsaZRcL-OTQ,5303424,219898,0,5774
7io8CSHjN2E,194178,6672,0,252
McpF_s2wXcY,403212,12780,0,283
vkzlU2fDLs8,1812111,52923,0,1340
D9jEMdJGhs0,239741,7561,0,189
ZwObGflIJyM,26493,603,0,23
KD3vTmbIZdU,833131,26964,0,818
sdaOtnuw-Ew,482760,17605,0,976
WVfbIWC7wmE,937775,23734,0,700
0VvdSqp69Lc,173015,4607,0,135
ANPbOxaRIO0,1628612,64663,0,3075
Eq5inG547JA,2504951,78998,0,3679
3944VpVVKCI,605195,17103,0,1040
hq6Q-7leQnI,46053,880,0,42
3Wp99TlXu8U,221210,5263,0,382
TCsFgJsJ5Uc,882592,19284,0,575
va8ZaKj27Xk,84663,1219,0,61
LBgpREkkfXY,45777,523,0,64
2oyZ9OM-neM,5409042,170319,0,3420
Wl9j4OP9DKc,70966,1351,0,71
JvIllmsp1J4,288130,6699,0,453
NWEqYj3OOoo,464851,9708,0,412
PwV1-wZzT1Y,3783040,79635,0,1990
QR7_RDHan3M,56265,1647,0,77
D3XZg82Z52A,101147,990,0,94
up8ODGFWgFg,29212856,575149,0,29946
glHqWvkpRqo,2559068,113255,0,2872
de3nUQIQIYY,92413,2790,0,161
jJ2rPTG1G9U,1730734,45236,0,2824
QKFjQbCKEgA,3869628,125698,0,3134
KsDT5Wa0hwI,612122,28451,0,1207
F8SjbnDxCy8,1871699,39933,0,2160
NNodeNnXWy0,1377532,60736,0,2222
kZ4C3xNMyI0,310513,,0,495
ZWIFNGClc20,49798,1463,0,80
sVskXNb2PIM,200606,5195,0,186
r-gkSte4QdA,1087891,25936,0,1033
sN58k8tSFXg,526193,14109,0,556
M1mg0yLDzvU,770715,23856,0,647
JgOWuWchf88,82353,1767,0,88
O2Twk386qm4,141319,6652,0,324
o63dR6rEs70,277036,10776,0,551
mgMwGBtt4rE,1086801,24506,0,667
y51Av743JEs,78666,1057,0,112
MAisFnH3Vro,87763,2475,0,230
qXibG3pG4zM,61458,1903,0,68
HJDx_8PIqxk,135211,3011,0,157
ymqKPz5kRXE,1289667,36416,0,1402
7Ur_455ttZY,21052,427,0,38
9ix2DCAzDp0,213913,6561,0,225
lsg1BCISPNU,901234,27428,0,881
9E4knj71GRE,20947,339,0,27
gnKRe1-zF28,94137,3053,0,115
ObD7Qjai55Y,203050,5285,0,328
UyTjpf47MZk,21157,278,0,8
UJMhvIlADYc,7498044,88001,0,2343
